"clinical_factor"	"group"	"No. Patients"
"Regional_nodes_positive"	"11"	61
"Regional_nodes_positive"	"12"	42
"Regional_nodes_positive"	"13"	32
"Regional_nodes_positive"	"14"	27
"Regional_nodes_positive"	"15"	19
"Regional_nodes_positive"	"16"	16
"Regional_nodes_positive"	"17"	18
"Regional_nodes_positive"	"18"	5
"Regional_nodes_positive"	"19"	17
"Regional_nodes_positive"	"2"	1066
"Regional_nodes_positive"	"20"	7
"Regional_nodes_positive"	"21"	11
"Regional_nodes_positive"	"22"	5
"Regional_nodes_positive"	"23"	4
"Regional_nodes_positive"	"24"	4
"Regional_nodes_positive"	"25"	2
"Regional_nodes_positive"	"26"	4
"Regional_nodes_positive"	"27"	1
"Regional_nodes_positive"	"28"	1
"Regional_nodes_positive"	"29"	1
"Regional_nodes_positive"	"3"	606
"Regional_nodes_positive"	"30"	1
"Regional_nodes_positive"	"31"	4
"Regional_nodes_positive"	"34"	2
"Regional_nodes_positive"	"35"	1
"Regional_nodes_positive"	"37"	2
"Regional_nodes_positive"	"38"	1
"Regional_nodes_positive"	"39"	1
"Regional_nodes_positive"	"4"	436
"Regional_nodes_positive"	"41"	1
"Regional_nodes_positive"	"46"	2
"Regional_nodes_positive"	"5"	279
"Regional_nodes_positive"	"53"	1
"Regional_nodes_positive"	"6"	210
"Regional_nodes_positive"	"7"	169
"Regional_nodes_positive"	"8"	105
"Regional_nodes_positive"	"9"	82
"Regional_nodes_positive"	">=90_examined"	1
"Regional_nodes_positive"	"Unknown"	63066
"Regional_nodes_positive_cat"	">20"	50
"Regional_nodes_positive_cat"	"No"	8371
"Regional_nodes_positive_cat"	"Unknown"	63066
"Regional_nodes_positive_cat"	"[1-2]"	3572
"Regional_nodes_positive_cat"	"[11-20]"	244
"Regional_nodes_positive_cat"	"[3-6]"	1531
"Regional_nodes_positive_cat"	"[7-10]"	439
"mets_bone"	"No"	21394
"mets_bone"	"Unknown"	54103
"mets_bone"	"Yes"	1776
"mets_brain"	"No"	22707
"mets_brain"	"Unknown"	54143
"mets_brain"	"Yes"	423
"mets_liver"	"No"	19650
"mets_liver"	"Unknown"	54080
"mets_liver"	"Yes"	3543
"mets_lung"	"No"	20866
"mets_lung"	"Unknown"	54216
"mets_lung"	"Yes"	2191
"mets_Distant_LN"	"No"	3021
"mets_Distant_LN"	"Unknown"	73828
"mets_Distant_LN"	"Yes"	424
"mets_DX_Other"	"No"	3192
"mets_DX_Other"	"Unknown"	73821
"mets_DX_Other"	"Yes"	260
"tumor_size_6_group"	"<=0.989cm"	21930
"tumor_size_6_group"	"<=1cm"	26
"tumor_size_6_group"	"<=2cm"	31
"tumor_size_6_group"	"<=3cm"	33
"tumor_size_6_group"	"<=4cm"	49
"tumor_size_6_group"	"<=5cm"	37
"tumor_size_6_group"	"Unknown"	55167
"lymph_nodes_involvement"	"None"	16531
"lymph_nodes_involvement"	"Unknown"	42647
"lymph_nodes_involvement"	"Yes"	18095
"distant_metastasis"	"None"	24932
"distant_metastasis"	"Unknown"	40190
"distant_metastasis"	"Yes"	12151
"lymph_nodes_involvement_clinically"	"1-2_involved"	5077
"lymph_nodes_involvement_clinically"	"3-6_involved"	1816
"lymph_nodes_involvement_clinically"	"7+_involved"	629
"lymph_nodes_involvement_clinically"	"None"	10275
"lymph_nodes_involvement_clinically"	"Unknown"	59476
"Survival_status"	"Alive"	10542
"Survival_status"	"Dead"	66731
"Race"	"AI/AN "	413
"Race"	"API"	3722
"Race"	"Black"	10835
"Race"	"Unknown"	154
"Race"	"White"	62149
"Age_2_group"	"<=67"	39160
"Age_2_group"	">67"	38113
"Total_Num_situ_or_malignant_2_group"	"1"	58462
"Total_Num_situ_or_malignant_2_group"	">1"	18811
"Insurance"	"Insured"	28899
"Insurance"	"Medicaid"	4394
"Insurance"	"Uninsured"	1042
"Insurance"	"Unknown"	42938
"Marital_status"	"DWS"	20288
"Marital_status"	"Married"	41966
"Marital_status"	"Unknown"	3736
"Marital_status"	"Unmarried"	11283
